86,100
35,14
23,64
69,70
28,39
66,12
39,2
80,44
91,5
75,59
64,74
36,13
19,29
84,26
89,64
57,86
9,63
8,58
88,62
89,49
74,13
26,66
68,67
67,40
26,14
9,66
80,68
25,30
49,89
51,32
5,64
71,80
67,24
88,43
6,64
6,65
32,59
47,80
61,76
11,89
60,70
34,51
44,64
53,66
23,75
38,54
53,80
70,34
15,70
84,55
58,34
50,52
65,49
99,45
65,53
13,99
23,45
2,11
83,29
24,28
6,60
67,84
41,86
25,80
90,63
75,42
61,26
72,91
14,38
37,60
33,55
55,1
42,45
87,23
99,7
43,2
31,5
69,40
54,67
34,65
75,79
30,58
1,82
46,46
73,2
55,78
92,60
7,12
3,19
33,70
19,36
11,47
56,7
13,4
12,76
8,65
44,52
40,26
40,79
53,88
38,18
92,99
6,80
95,16
16,76
51,84
90,34
92,32
43,80
91,12
9,13
38,57
57,81
40,80
88,44
37,8
40,36
95,35
90,85
7,44
86,35
3,22
24,54
86,44
23,9
8,26
45,3
32,30
21,65
85,51
20,14
81,82
93,94
51,40
97,34
51,87
19,24
24,4
32,60
73,71
3,50
39,31
61,22
6,22
85,5
28,71
73,28
52,8
53,80
66,66
55,31
45,31
80,86
16,93
21,33
35,88
92,86
10,72
13,2
16,81
100,84
76,55
73,33
10,27
6,82
91,8
48,90
35,21
10,20
2,59
90,83
31,68
27,61
68,91
68,45
87,40
70,8
54,20
100,54
69,99
57,93
85,5
32,89
35,18
31,24
15,100
43,69
84,72
55,89
22,25
50,3
90,87
64,54
7,48
71,100
7,89
97,81
80,58
66,60
33,9
41,43
93,66
89,23
14,84
1,10
87,16
29,73
2,78
41,12
14,23
43,15
99,56
68,60
88,49
45,11
93,97
6,52
75,11
81,71
73,3
32,54
50,18
98,4
63,58
25,18
19,4
90,71
95,78
26,4
89,88
58,52
47,83
51,47
88,55
33,31
18,10
19,77
54,35
34,85
96,49
84,20
83,50
21,75
17,45
43,89
55,90
36,62
98,31
77,7
46,91
20,41
70,62
63,51
35,39
67,70
95,49
82,79
83,86
78,6
34,68
69,55
28,62
24,73
87,1
18,22
98,75
63,16
84,14
28,95
19,55
49,100
82,84
65,1
23,14
1,17
98,72
63,48
32,99
74,55
40,78
67,13
21,83
99,73
43,22
87,80
68,54
75,50
28,41
8,11
79,85
39,4
2,22
1,68
93,97
89,21
26,66
35,25
65,41
73,25
93,60
87,13
7,43
84,32
98,14
64,34
96,62
19,45
95,67
50,8
58,55
64,97
32,68
46,58
44,71
47,92
63,87
58,97
6,85
40,98
69,90
20,63
19,81
44,81
53,23
88,82
66,66
76,81
57,67
82,82
36,35
99,59
40,9
16,93
65,79
47,40
47,10
13,52
100,28
27,20
89,50
65,97
77,4
55,51
32,79
77,96
5,12
31,22
96,62
72,20
17,79
31,54
62,32
2,88
65,29
71,67
56,85
72,25
32,54
38,80
23,43
33,64
30,3
25,4
55,31
26,56
34,43
53,16
61,68
40,94
97,91
77,3
10,90
69,82
63,91
49,28
92,6
87,8
26,25
43,4
79,48
2,43
27,7
83,2
71,11
97,80
89,39
3,18
55,14
88,62
81,17
78,48
98,32
19,62
44,35
15,26
73,32
9,81
53,89
10,12
88,63
2,16
12,80
91,75
79,67
22,99
58,90
39,71
12,19
87,92
40,2
28,22
34,45
92,38
9,18
24,11
81,74
32,26
96,74
78,86
45,86
90,30
40,2
22,70
61,4
29,79
9,39
57,99
13,14
1,19
88,65
31,85
88,47
88,85
67,67
22,81
98,43
32,60
16,4
46,92
95,73
31,72
83,50
45,46
67,13
88,34
32,19
29,16
100,51
93,11
52,87
88,79
51,5
50,12
38,4
75,95
42,97
30,14
75,90
90,66
35,21
85,48
40,52
21,39
49,26
96,2
58,80
56,65
32,73
100,81
4,74
79,22
28,94
7,28
33,21
10,52
77,58
8,76
48,4
87,80
36,42
58,22
54,91
100,21
1,96
8,13
39,32
63,92
22,7
9,72
1,45
15,36
97,9
91,75
27,56
83,64
45,56
44,54
54,16
13,99
99,97
7,98
60,53
100,2
52,20
65,60
53,23
41,89
1,82
75,4
65,72
12,57
16,31
43,95
54,59
39,70
25,23
64,29
36,4
34,49
98,76
69,99
56,11
79,98
7,14
71,56
88,56
98,20
73,15
82,26
45,69
54,11
3,81
2,12
59,78
76,75
74,32
4,2
81,87
70,55
95,89
28,67
64,59
49,3
38,87
73,26
59,93
20,66
94,1
69,72
1,3
80,86
94,20
42,50
80,66
66,57
33,38
36,29
13,6
56,30
45,65
94,16
96,26
81,49
27,90
86,8
95,81
19,47
13,66
15,86
38,78
28,47
60,56
64,20
93,25
88,60
21,30
83,29
56,32
84,2
90,1
23,52
57,91
100,25
48,68
53,32
78,88
27,73
55,99
94,54
92,35
68,78
42,89
93,65
1,86
52,43
89,37
50,98
95,81
20,79
57,46
1,10
99,20
39,7
41,46
78,65
55,55
88,14
1,78
3,38
85,71
13,42
10,43
2,76
70,11
29,96
1,7
57,72
52,18
23,63
10,77
64,19
20,63
10,97
44,72
32,34
9,69
86,68
19,97
15,99
34,99
41,95
59,39
90,75
18,91
27,74
64,18
55,82
39,94
99,11
2,1
11,78
98,52
32,72
100,41
94,49
26,99
70,7
57,20
62,76
56,88
81,80
5,83
57,9
25,90
59,48
73,20
91,10
25,5
14,75
62,98
58,32
